# Large External Context Corpus
# This file is intentionally large and mostly irrelevant noise.
# Task goal: recover the exact needle token and its chunk id.

CHUNK-0001 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0001 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0001 | corpus=ops-notes | topic=trace | text=checksum=0001-0008-0012-0020 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0002 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0002 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0002 | corpus=ops-notes | topic=trace | text=checksum=0002-0009-0013-0021 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0003 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0003 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0003 | corpus=ops-notes | topic=trace | text=checksum=0003-0010-0014-0022 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0004 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0004 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0004 | corpus=ops-notes | topic=trace | text=checksum=0004-0011-0015-0023 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0005 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0005 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0005 | corpus=ops-notes | topic=trace | text=checksum=0005-0012-0016-0024 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0006 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0006 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0006 | corpus=ops-notes | topic=trace | text=checksum=0006-0013-0017-0025 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0007 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0007 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0007 | corpus=ops-notes | topic=trace | text=checksum=0007-0014-0018-0026 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0008 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0008 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0008 | corpus=ops-notes | topic=trace | text=checksum=0008-0015-0019-0027 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0009 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
CHUNK-0009 | corpus=ops-notes | topic=incidents | text=Historical note: this segment is filler data for retrieval stress tests, not actionable signal.
CHUNK-0009 | corpus=ops-notes | topic=trace | text=checksum=0009-0016-0020-0028 and synthetic references to unrelated services, regions, and timelines.
CHUNK-0010 | corpus=ops-notes | topic=systems | text=The control-plane heartbeat remained stable, retries were bounded, and background reconciliation continued without notable operator intervention.
